title,genre,tags,platforms,description,metacritic,released
Sleeping Dogs,adventure,"Singleplayer, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Sandbox, Violent, Third-Person Shooter, Parkour, Crime, Driving, Martial Arts","PC, Xbox 360, PlayStation 3",sleeping-dogs,81.0,2012-08-14
To the Moon,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, 2D, Sci-fi, Funny, Female Protagonist, Action-Adventure, Pixel Graphics, Retro, Space, role-playing, Cute, Short, Walking Simulator, Parkour, Relaxing, Linear, Romance, America, Interactive Fiction, Psychological, RPGMaker, RPG Maker, Family Sharing, 2D Platformer","PC, Nintendo Switch, iOS, Android, macOS, Linux",to-the-moon,81.0,2011-01-10
Bayonetta,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Third Person, Fantasy, Gore, Classic, Female Protagonist, Comedy, Anime, Nudity, Hack and Slash, Mature, Fast-Paced, Sexual Content, Beat 'em up, Character Action Game, Spectacle fighter","PC, PlayStation 4, Xbox One, Nintendo Switch, Xbox 360, PlayStation 3, Wii U",bayonetta,90.0,2009-06-23
Ratchet & Clank,adventure,"Action-Adventure, exclusive, true exclusive",PlayStation 4,ratchet-clank,85.0,2016-04-12
LEGO The Lord of the Rings,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Co-op, Open World, cooperative, Third Person, Fantasy, Funny, Comedy, Split Screen, Local Co-Op, Controller, Local Multiplayer, Family Friendly, 3D Vision, LEGO","PC, iOS, Android, Nintendo 3DS, Nintendo DS, Xbox 360, PlayStation 3, PS Vita, Wii",lego-lord-of-the-rings,80.0,2012-10-30
Ghost of Tsushima,adventure,"Singleplayer, Atmospheric, RPG, Open World, Third Person, Action-Adventure, exclusive, japanese","PC, PlayStation 5, PlayStation 4",ghost-of-tsushima,83.0,2020-07-17
STAR WARS Battlefront II,adventure,"Singleplayer, Steam Achievements, Multiplayer, Co-op, cooperative, First-Person, Third Person, Sci-fi, FPS, Online Co-Op, Tactical, Third-Person Shooter, PvP, Space, Character Customization, combat, Aliens, Online PvP, Steam Trading Cards, Star Wars, Vehicular Combat","PC, Xbox One, PlayStation 4",star-wars-battlefront-2,74.0,2017-11-17
S.T.A.L.K.E.R.: Shadow of Chernobyl,adventure,"Singleplayer, Multiplayer, Atmospheric, RPG, Open World, First-Person, Sci-fi, Horror, FPS, Difficult, Classic, Sandbox, Survival, Moddable, Survival Horror, Post-apocalyptic, Based On A Novel, Inventory Management","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",stalker-shadow-of-chernobyl,82.0,2007-03-19
Doki Doki Literature Club!,adventure,"Singleplayer, Horror, Free to Play, Anime, Cute, Visual Novel, Romance, Dating Sim","PC, macOS, Linux",doki-doki-literature-club,78.0,2017-09-22
Until Dawn,adventure,"Horror, exclusive","PlayStation 4, PlayStation 3",until-dawn,79.0,2015-08-25
A Way Out,adventure,"Steam Achievements, Multiplayer, Full controller support, Atmospheric, Co-op, Story Rich, cooperative, Third Person, Online Co-Op, Violent, Split Screen, Stealth, Local Co-Op, Action-Adventure, Nudity, Cinematic, Sexual Content, Crime, Steam Trading Cards, Emotional, Remote Play Together, Shared/Split Screen Co-op, Remote Play on TV, Remote Play on Tablet, Conversation, Remote Play on Phone, prison, ea play","PC, Xbox One, PlayStation 4",a-way-out-2018,78.0,2018-03-23
The Long Dark,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Open World, First-Person, Horror, Difficult, Exploration, Steam Leaderboards, Sandbox, Female Protagonist, Survival, Early Access, Survival Horror, Post-apocalyptic, Crafting, Walking Simulator, overlay, in development","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",the-long-dark,76.0,2014-09-22
Mortal Kombat 11,adventure,"Singleplayer, Multiplayer, Atmospheric, Gore, Violent, Online multiplayer, Blood","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",mortal-kombat-11,82.0,2019-04-22
Ryse: Son of Rome,adventure,"Singleplayer, Multiplayer, Full controller support, Atmospheric, RPG, Co-op, Open World, cooperative, Third Person, Fantasy, Gore, stats, Nudity, Hack and Slash, War, Short, Historical, Linear, Quick-Time Events, Benchmark, Rome","PC, Xbox One",ryse-son-of-rome,61.0,2013-11-22
Dear Esther: Landmark Edition,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, First-Person, Exploration, Walking Simulator, Commentary available","PC, Xbox One, PlayStation 4, macOS",dear-esther-landmark-edition,,2017-02-14
Star Wars: Knights of the Old Republic II – The Sith Lords,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, RPG, Story Rich, Third Person, Sci-fi, Classic, Female Protagonist, Steam Workshop, Space, role-playing, Moddable, Character Customization, Turn-Based, Choices Matter, Multiple Endings, Turn-Based Combat, Real-Time with Pause, Party-Based RPG, Star Wars","PC, Nintendo Switch, Android, macOS, Linux, Xbox 360, Xbox",kotor-ii,85.0,2004-12-06
Sea of Thieves,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Co-op, Open World, cooperative, First-Person, Online Co-Op, Funny, PvP, Cross-Platform Multiplayer, In-App Purchases, exclusive, Online PvP, PvE, Pirates, Sailing, sea, w10 exclusive","PC, PlayStation 5, Xbox One, Xbox Series S/X",sea-of-thieves,68.0,2018-03-20
The Evil Within,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Story Rich, Open World, Third Person, Horror, Gore, Difficult, Survival, Stealth, Third-Person Shooter, Dark, Zombies, Survival Horror, Captions available, Cinematic, Walking Simulator","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",the-evil-within,68.0,2014-10-12
Beholder,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, 2D, Horror, Violent, Stealth, Dark, Point & Click, Choices Matter, Multiple Endings, Dystopian, Political","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux",beholder,75.0,2016-11-08
Stray,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Open World, Third Person, Sci-fi, Horror, Exploration, Stealth, exclusive, Cute, Mystery, Colorful, Cyberpunk, Dystopian, Steam Trading Cards, Robots, Beautiful, Remote Play on TV, cats","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",stray-2,82.0,2022-07-19
Murdered: Soul Suspect,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, steam-trading-cards, RPG, Story Rich, Open World, Third Person, Horror, Stealth, Dark, Point & Click, Mystery, Short, Walking Simulator, Crime, Detective, Supernatural, Noir","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",murdered-soul-suspect,59.0,2014-06-03
LEGO The Hobbit,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, RPG, Co-op, Open World, cooperative, Third Person, Fantasy, Funny, Comedy, Split Screen, Local Co-Op, Family Friendly, LEGO","PC, PlayStation 4, Xbox One, Nintendo 3DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii U",lego-the-hobbit,70.0,2014-04-08
It Takes Two,adventure,"Steam Achievements, Multiplayer, Full controller support, Co-op, Story Rich, cooperative, Online Co-Op, Exploration, Female Protagonist, Split Screen, Local Co-Op, Action-Adventure, Action RPG, Magic, Story, Steam Trading Cards, online, 3D Platformer, character, Emotional, console, Remote Play Together, offline, Shared/Split Screen Co-op, Co-op Campaign, work, night, journey, Minigames, love, light, Mining, treasure, relationship, learn, obstacles, delivery","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",it-takes-two-2,88.0,2021-03-26
Resident Evil Revelations 2,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Co-op, Story Rich, cooperative, Third Person, Horror, Online Co-Op, Gore, Steam Leaderboards, Female Protagonist, Survival, Local Co-Op, Action RPG, Third-Person Shooter, Zombies, Survival Horror, Episodic, island, escape, terror","PC, PlayStation 4, Xbox One, Nintendo Switch, Xbox 360, PlayStation 3, PS Vita",re-revelations-2,72.0,2015-02-24
Resident Evil 2,adventure,"Atmospheric, Horror, Action-Adventure, Zombies, Survival Horror, Remake, quest","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, macOS",resident-evil-2-2019,91.0,2019-01-25
Lords of the Fallen (2014),adventure,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Co-op, Story Rich, Open World, cooperative, First-Person, Third Person, Partial Controller Support, Horror, Online Co-Op, Fantasy, Difficult, Action-Adventure, Action RPG, PvP, Cross-Platform Multiplayer, Hack and Slash, Character Customization, 3D, Dark Fantasy, combat, Medieval, Magic, Online PvP, Lore-Rich, Souls-like","PC, Xbox One, PlayStation 4, iOS, Android",lords-of-the-fallen,73.0,2014-10-28
BattleBlock Theater,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Co-op, cooperative, 2D, Online Co-Op, Funny, Difficult, Steam Leaderboards, Sandbox, Comedy, Online multiplayer, Split Screen, Local Co-Op, Local Multiplayer, stats, Steam Workshop, Includes level editor, Team-Based, Level Editor, cats","PC, Xbox One, macOS, Linux, Xbox 360",battleblock-theater,85.0,2013-04-03
Game of Thrones - A Telltale Games Series,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, Story Rich, Open World, Third Person, Fantasy, Gore, Female Protagonist, Controller, Point & Click, Nudity, War, controller support, Choices Matter, Mature, Medieval, achievements, Episodic, Choose Your Own Adventure, Dragons, Interactive Fiction, Based On A Novel","PC, PlayStation 4, Xbox One, iOS, Android, macOS, Xbox 360, PlayStation 3",game-of-thrones-a-telltale-games-series,66.0,2014-12-02
Orwell: Keeping an Eye On You,adventure,"Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Point & Click, Mystery, Choices Matter, Cyberpunk, Dystopian, Visual Novel, Detective, Episodic, Interactive Fiction, Political, Hacking, Politics, Mouse only","PC, iOS, Android, macOS, Linux",orwell,77.0,2016-10-27
Resident Evil 3,adventure,"Singleplayer, Multiplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Co-op, Story Rich, cooperative, Third Person, Horror, Gore, Difficult, Classic, Female Protagonist, Violent, Third-Person Shooter, PvP, Zombies, Survival Horror, Online PvP, Steam Trading Cards, Remake, Masterpiece, first person mod","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",resident-evil-3,80.0,2020-04-02
Mafia II: Definitive Edition,adventure,"Singleplayer, Steam Achievements, Full controller support, Story Rich, Open World, Third Person, Gore, Violent, Third-Person Shooter, Nudity, Sexual Content, Crime, Driving, Noir, mafia","PC, Xbox One, PlayStation 4",mafia-ii-definitive-edition,65.0,2020-05-19
Dragon's Dogma: Dark Arisen,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Fantasy, Difficult, Exploration, Steam Leaderboards, Action RPG, role-playing, Hack and Slash, Character Customization, controller support, Dark Fantasy, Magic, Walking Simulator, overlay, JRPG, achievements, Dragons, cloud saves, leaderboards","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3",dragons-dogma-dark-arisen,81.0,2013-04-23
Final Fantasy VII,adventure,"Singleplayer, Atmospheric, RPG, Story Rich, Sci-fi, Fantasy, Exploration, Action-Adventure, exclusive, Cinematic, Magic, JRPG, 3rd-Person Perspective, Drama, Party-Based RPG, Role Playing Game","PC, PlayStation 5, PlayStation 4",final-fantasy-vii-remake,87.0,2020-04-10
Oxenfree,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, 2D, Horror, Female Protagonist, Captions available, Mystery, Short, Choices Matter, Side Scroller, Walking Simulator, Multiple Endings, overlay, achievements, 2.5D, Supernatural, Lovecraftian, Thriller","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux",oxenfree,80.0,2016-01-14
Broken Age,adventure,"Singleplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Story Rich, 2D, Sci-fi, Fantasy, Funny, Female Protagonist, Comedy, Action-Adventure, Controller, Point & Click, Short, Hand-drawn, Kickstarter, Episodic, Touch-Friendly, Crowdfunded, Coming Of Age","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita",broken-age,81.0,2014-01-28
VRChat,adventure,"Singleplayer, Multiplayer, Co-op, Partial Controller Support, Horror, Online Co-Op, Free to Play, Online multiplayer, Early Access, Cross-Platform Multiplayer, VR, MMORPG",PC,vrchat,,2017-02-01
ABZU,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, Third Person, Fantasy, Exploration, Controller, Family Friendly, Short, Colorful, Walking Simulator, Relaxing, Underwater","PC, Xbox One, PlayStation 4, Nintendo Switch",abzu-2,83.0,2016-08-02
Tales from the Borderlands: A Telltale Game Series,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Sci-fi, Funny, Female Protagonist, Comedy, Point & Click, Choices Matter, Memes, Visual Novel, achievements, Dark Humor, Episodic, Choose Your Own Adventure, Quick-Time Events","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Xbox 360, PlayStation 3",tales-from-the-borderlands,85.0,2015-10-21
Sonic Mania,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, 2D, Partial Controller Support, Steam Leaderboards, Classic, Split Screen, Local Co-Op, Action-Adventure, Pixel Graphics, Local Multiplayer, Retro, Family Friendly, Colorful, Side Scroller, Fast-Paced, Remake, Cartoony","PC, Xbox One, PlayStation 4, Nintendo Switch",sonic-mania,85.0,2017-08-15
Lara Croft and the Guardian of Light,adventure,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, Co-op, cooperative, Third Person, Partial Controller Support, Online Co-Op, Difficult, Exploration, Steam Leaderboards, Female Protagonist, Split Screen, Local Co-Op, Controller, Local Multiplayer, stats, Isometric, Puzzle-Platformer, Twin Stick Shooter, Lara Croft","PC, iOS, Android, Xbox 360, PlayStation 3",lara-croft-gol,82.0,2010-08-05
STAR WARS Battlefront,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Co-op, cooperative, First-Person, Third Person, Sci-fi, Online Co-Op, Split Screen, Third-Person Shooter, PvP, Space, combat, Aliens, Online PvP, Steam Trading Cards, Epic, Star Wars, work, Vehicular Combat, planets, army, laser","PC, Xbox One, PlayStation 4",star-wars-battlefront,73.0,2015-11-17
The Talos Principle,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Open World, First-Person, Third Person, Sci-fi, Difficult, Exploration, Controller, Steam Workshop, Includes level editor, Post-apocalyptic, Mystery, Walking Simulator, Multiple Endings, Robots, Philisophical","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux",the-talos-principle,85.0,2014-12-11
Dying Light,adventure,"Horror, Survival, Zombies, Parkour, city, skill, night, environment, fast","PC, Xbox One, PlayStation 4, Nintendo Switch",dying-light,74.0,2015-01-27
Tomb Raider: Underworld,adventure,"Singleplayer, Atmospheric, Third Person, Exploration, Female Protagonist, Action-Adventure, Third-Person Shooter, Parkour, 3D Vision, Lara Croft","PC, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii",tomb-raider-underworld,80.0,2008-11-18
Gris,adventure,"Singleplayer, Full controller support, Atmospheric, 2D, Female Protagonist, Cute, Relaxing, Drama, relaxation","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, Android, macOS",gris,83.0,2018-12-13
Vampyr,adventure,"Singleplayer, Full controller support, Atmospheric, RPG, Story Rich, Open World, Third Person, Horror, Gore, Violent, role-playing, Choices Matter, Detective, Vampire","PC, Xbox One, PlayStation 4, Nintendo Switch",vampyr,70.0,2018-06-04
Resident Evil: Village,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Story Rich, Open World, First-Person, Horror, FPS, Gore, Survival, Violent, Dark, Zombies, Nudity, Survival Horror, Sexual Content, Steam Trading Cards, Dating Sim, evil","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS",resident-evil-village,83.0,2021-05-07
Valheim,adventure,"Singleplayer, Multiplayer, Steam Cloud, Co-op, cooperative, Online Co-Op, Fantasy, Exploration, Survival, Online multiplayer, Early Access, Crafting, Sailing, coop, Forest, Norse, viking","PC, Linux",valheim,,2021-02-02
Battlefield V,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Open World, First-Person, FPS, Female Protagonist, Violent, Action-Adventure, PvP, War, Historical, combat, Military, Online PvP, Steam Trading Cards, Destruction, World War II, LGBTQ+, Battle Royale, ww2","PC, Xbox One, PlayStation 4",battlefield-v,77.0,2018-11-20
Deponia,adventure,"Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, 2D, Sci-fi, Funny, Difficult, Comedy, Point & Click, Dystopian, Steampunk, achievements, Dark Humor, Hand-drawn, Hidden Object","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux",deponia,74.0,2012-01-27
Uncharted: Legacy of Thieves Collection,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, Third Person, Funny, Exploration, Female Protagonist, Violent, Stealth, Action-Adventure, Controller, Third-Person Shooter, Cinematic, combat, Parkour, 3rd-Person Perspective, puzzles, Remote Play on TV, qte, ambient","PC, PlayStation 5",uncharted-legacy-of-thieves-collection,,2022-01-28
Outer Wilds,adventure,"Space, Surreal, vr mod, planetary","PC, Xbox One, PlayStation 4, Nintendo Switch",outer-wilds,84.0,2019-05-29
Sniper Elite 4,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Co-op, Open World, cooperative, Third Person, FPS, Gore, Steam Leaderboards, Violent, Stealth, Tactical, Third-Person Shooter, Nudity, War, World War II, Sniper","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",sniper-elite-4,78.0,2017-02-13
Persona 5,adventure,"Singleplayer, Atmospheric, RPG, Exploration, Action-Adventure, Anime, JRPG, 3rd-Person Perspective, Drama, lifestyle, japanese","PlayStation 4, PlayStation 3",persona-5,93.0,2016-09-15
Life is Strange 2,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, Third Person, Action-Adventure, Point & Click, Choices Matter, Walking Simulator, 3rd-Person Perspective, Drama, Episodic","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",life-is-strange-2,75.0,2018-09-27
The LEGO NINJAGO Movie Video Game,adventure,"Singleplayer, Steam Achievements, Full controller support, cooperative, Local Co-Op, Local Multiplayer, LEGO","PC, Xbox One, PlayStation 4, Nintendo Switch",the-lego-ninjago-movie-video-game,70.0,2017-09-22
Machinarium,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, 2D, Sci-fi, Difficult, Steam Leaderboards, Classic, Point & Click, Cute, Robots, Steampunk, Stylized, Hand-drawn, Touch-Friendly, Hidden Object","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PlayStation 3, PS Vita",machinarium,85.0,2009-10-16
Valiant Hearts: The Great War,adventure,"Singleplayer, Atmospheric, Great Soundtrack, RPG, Story Rich, 2D, Point & Click, War, Historical, Side Scroller, Music, Comic Book, Education, Other, World War I","PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Xbox 360, PlayStation 3",valiant-hearts-the-great-war,80.0,2014-06-24
Yakuza Kiwami,adventure,"Steam Achievements, Full controller support, Steam Cloud, Great Soundtrack, RPG, Story Rich, Open World, Beat 'em up, Crime, Steam Trading Cards, Minigames, Single player only","PC, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 3",yakuza-kiwami,83.0,2016-01-21
The Swapper,adventure,"Singleplayer, Steam Achievements, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, 2D, Sci-fi, Horror, Difficult, Exploration, Space, Mystery, Side Scroller, Metroidvania, Puzzle-Platformer, puzzles, cerebral","PC, PlayStation 4, Xbox One, macOS, Linux, PlayStation 3, PS Vita, Wii U",the-swapper,87.0,2013-05-13
The Awesome Adventures of Captain Spirit,adventure,"Singleplayer, Full controller support, Steam Cloud, Atmospheric, Great Soundtrack, Story Rich, Horror, Free to Play, Point & Click, Short, Choices Matter, Memes, Walking Simulator, Drama, Superhero","PC, Xbox One, PlayStation 4",the-awesome-adventures-of-capitan-spirit,77.0,2018-06-25
Marvel's Guardians of the Galaxy,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, RPG, Story Rich, Open World, Sci-fi, Exploration, Comedy, Violent, Action-Adventure, Third-Person Shooter, Space, Choices Matter, Realistic, Cinematic, Aliens, Story, Superhero, console, offline, fight, fire, galaxy, pack, rocket, jet, comics","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",guardians-of-the-galaxy,,2021-10-26
Magicka 2,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, steam-trading-cards, RPG, Co-op, Open World, cooperative, Online Co-Op, Fantasy, Funny, Gore, Comedy, Split Screen, Local Co-Op, Local Multiplayer, PvP, Team-Based, Isometric, Memes, Magic","PC, PlayStation 4, macOS, Linux",magicka-2,69.0,2015-05-26
Tell Me Why,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Story Rich, Third Person, Exploration, Action-Adventure, Captions available, Mystery, Choices Matter, Cinematic, Walking Simulator, Multiple Endings, Drama, Episodic, Emotional, Choose Your Own Adventure, Beautiful, LGBTQ+, Dynamic Narration, Conversation","PC, Xbox One",tell-me-why,76.0,2020-08-27
Deponia: The Complete Journey,adventure,"Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, 2D, Sci-fi, Funny, Comedy, Point & Click, Steampunk, Commentary available, Romance","PC, iOS, macOS, Linux",deponia-the-complete-journey,,2014-06-03
Tomb Raider: Legend,adventure,"Singleplayer, Third Person, Partial Controller Support, Female Protagonist, Action-Adventure, Controller, Third-Person Shooter, Lara Croft","PC, Xbox 360, Xbox, PlayStation 3, PlayStation 2, PSP, GameCube",tomb-raider-legend,82.0,2006-04-06
Outlast 2,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, Story Rich, First-Person, Horror, Gore, Survival, Violent, Dark, Nudity, Survival Horror, controller support, Mature, Parkour, Sexual Content, achievements","PC, Xbox One, PlayStation 4, Nintendo Switch",outlast-2,76.0,2017-04-24
Bully: Scholarship Edition,adventure,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Story Rich, Open World, First-Person, Third Person, Partial Controller Support, Funny, Exploration, Classic, Sandbox, Comedy, Controller, Mature, Dark Humor, Satire","PC, Xbox 360, Wii",bully-scholarship-edition,72.0,2008-03-04
Resident Evil Revelations,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, Co-op, cooperative, Third Person, Sci-fi, Horror, FPS, Online Co-Op, Gore, Female Protagonist, Survival, Local Co-Op, Third-Person Shooter, Zombies, Survival Horror, Valve Anti-Cheat enabled","PC, Xbox One, PlayStation 4, Nintendo Switch, Nintendo 3DS, Xbox 360, PlayStation 3, Wii U",resident-evil-revelations-biohazard-revelations,77.0,2012-02-07
Sunset Overdrive,adventure,"Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Great Soundtrack, Open World, cooperative, Third Person, Funny, Comedy, Violent, Third-Person Shooter, Character Customization, Post-apocalyptic, Captions available, Colorful, Parkour","PC, Xbox One",sunset-overdrive,82.0,2014-10-28
The Evil Within 2,adventure,"Singleplayer, Atmospheric, Story Rich, Horror, FPS, Gore, Violent, Third-Person Shooter, Survival Horror","PC, Xbox One, PlayStation 4",the-evil-within-2,82.0,2017-10-11
Life is Strange: Before The Storm,adventure,"Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, Third Person, Horror, Female Protagonist, Anime, Point & Click, Mystery, Choices Matter, Memes, Walking Simulator, Multiple Endings, Drama, Episodic, Illuminati, Choose Your Own Adventure, Time Travel, LGBTQ+","PC, PlayStation 4, Xbox One, iOS, Android, macOS, Linux",life-is-strange-before-storm,77.0,2017-08-31
Tomb Raider: Anniversary,adventure,"Singleplayer, Third Person, Partial Controller Support, Classic, Female Protagonist, Action-Adventure, Controller, Third-Person Shooter, Parkour, Remake, 3D Vision, Dinosaurs, Lara Croft","PC, iOS, macOS, Xbox 360, PlayStation 2, PSP, Wii",tomb-raider-anniversary,83.0,2007-06-01
Gone Home,adventure,"Singleplayer, Full controller support, Atmospheric, steam-trading-cards, Great Soundtrack, Story Rich, First-Person, Exploration, Female Protagonist, Point & Click, Captions available, Mystery, Short, Realistic, Walking Simulator, Relaxing, 1990's, Commentary available, Romance, Narration, Interactive Fiction, LGBTQ+, suspense","PC, PlayStation 4, Nintendo Switch, iOS, macOS, Linux",gone-home,86.0,2013-08-14
Assassin's Creed Valhalla,adventure,"Singleplayer, Multiplayer, Atmospheric, RPG, Story Rich, Open World, Third Person, Partial Controller Support, Fantasy, Gore, Female Protagonist, Violent, Stealth, Action-Adventure, Action RPG, Nudity, In-App Purchases, Captions available, Historical, Sexual Content, Assassin, vikings","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",assassins-creed-valhalla,82.0,2020-11-10
Shadowrun: Dragonfall - Director's Cut,adventure,"Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, RPG, Story Rich, Sci-fi, Fantasy, Female Protagonist, Tactical, Steam Workshop, Space, role-playing, Includes level editor, Moddable, Turn-Based, combat, Isometric, Turn-Based Strategy, Cyberpunk, Story, Music, battle, Kickstarter, Turn-Based Tactics, character, city, Touch-Friendly, CRPG, Conspiracy, cloud saves, future, build, galaxy, memory, Shadows, android, terror, tablet","PC, Nintendo Switch, iOS, Android, macOS, Linux",shadowrun-dragonfall-dc,87.0,2014-09-17
Baldur's Gate III,adventure,"Singleplayer, Steam Achievements, Multiplayer, Steam Cloud, RPG, Co-op, Online Co-Op, Fantasy, Online multiplayer, Split Screen, Local Co-Op, Local Multiplayer, Cross-Platform Multiplayer, role-playing, Character Customization, Captions available, Isometric, Magic, Steam Trading Cards, CRPG, Party-Based RPG, Role Playing Game, Dungeons & Dragons","PC, PlayStation 5, Xbox Series S/X, macOS",baldurs-gate-3,97.0,2023-08-03
